tag,min,max
Y.ECH.yectice232.pv//T-222 TO E-232 INLET TEMP._PV,43,50
Y.ECH.yectict2210.pv//T-221 OVHD TEMP_PV,90,92
Y.ECH.YECTIT2226.PV//T-222 BOTTOM TEMP._PV,127.5,128.5
Y.ECH.yectice227b.pv//T-220B REFLUX TEMP._PV,60,95
Y.ECH.yectie2201.pv//T-220A TO E-220A TEMP._PV,101,103
Y.ECH.yectie2203.pv//T-220B TO E-220B TEMP._PV,101,103
Y.ECH.yecfics2201.pv//P-204A/B TO T-220A FLOW_PV,60,61.5
Y.ECH.yecfics2203.pv//P-204AB TO T-220B FLOW_PV,62,63
Y.ECH.yectice227a.pv//T-220A REFLUX TEMP._PV,83,95
Y.ECH.yectit2215.pv//T-221 BOTTOM TEMP._PV,125,127
Y.ECH.yecpit222a.pv//T-222 BOTTOM PRESS._PV,-0.72,-0.67
Y.ECH.yecpit222.pv//T-222 OVHD PRESS_PV,-0.96,-0.9
